,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,follower
44,THEWEEKND,THEHILLS,392023505,242280.0,0,0.565,0.551,0.0,-7.007,0.0,0.0687,0.0845,0.0,0.139,0.125,112.98,4.0,98,58464012
45,THEWEEKND,THEHILLS,392023505,242253.0,0,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,4.0,98,58464012
46,THEWEEKND,THEHILLS,392023505,242253.0,0,0.585,0.564,0.0,-7.063,0.0,0.0515,0.0671,0.0,0.135,0.137,113.003,4.0,98,58464012
47,THEWEEKND,SAVEYOURTEARS,242055670,215626.0,0,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,98,58464012
48,THEWEEKND,SAVEYOURTEARS,242055670,215626.0,0,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,98,58464012
49,THEWEEKND,SAVEYOURTEARS,134482363,215626.0,0,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,98,58464012
50,THEWEEKND,SAVEYOURTEARS,134482363,215626.0,0,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4.0,98,58464012
51,THEWEEKND,DIEFORYOU,240869086,260253.0,0,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,4.0,98,58464012
52,THEWEEKND,DIEFORYOU,240869086,260253.0,0,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,4.0,98,58464012
53,THEWEEKND,CALLOUTMYNAME,185191010,228373.0,0,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,3.0,98,58464012
54,THEWEEKND,CALLOUTMYNAME,185191010,228373.0,0,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,3.0,98,58464012
55,THEWEEKND,AFTERHOURS,57062099,361946.0,0,0.651,0.567,5.0,-5.941,0.0,0.0317,0.0934,0.00991,0.124,0.138,108.953,4.0,98,58464012
56,THEWEEKND,AFTERHOURS,57062099,361946.0,0,0.651,0.567,5.0,-5.941,0.0,0.0317,0.0934,0.00991,0.124,0.138,108.953,4.0,98,58464012
57,THEWEEKND,OUTOFTIME,19142162,214190.0,0,0.629,0.763,0.0,-4.279,0.0,0.0453,0.244,0.0,0.312,0.809,93.023,4.0,98,58464012
58,THEWEEKND,OUTOFTIME,19142162,214190.0,0,0.629,0.763,0.0,-4.279,0.0,0.0453,0.244,0.0,0.312,0.809,93.023,4.0,98,58464012
59,THEWEEKND,OUTOFTIME,19142162,214190.0,0,0.629,0.763,0.0,-4.279,0.0,0.0453,0.244,0.0,0.312,0.809,93.023,4.0,98,58464012
60,THEWEEKND,OUTOFTIME,19142162,214190.0,0,0.629,0.763,0.0,-4.279,0.0,0.0453,0.244,0.0,0.312,0.809,93.023,4.0,98,58464012
61,XXXTENTACION,JOCELYNFLORES,624457164,119133.0,0,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0,89,40355881
62,XXXTENTACION,JOCELYNFLORES,624457164,119133.0,0,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4.0,89,40355881
63,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,89,40355881
64,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,89,40355881
65,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,89,40355881
66,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,89,40355881
67,XXXTENTACION,SAD!,619879245,166605.0,0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,89,40355881
