,artists,popularity,follower
298,BROCKHAMPTON,71,2075632
299,PorterRobinson,65,1050548
300,WavyVibez,4,7
301,Adele,88,46304296
302,ColemanHell,48,68243
303,MarianHill,56,460407
304,JoséFeliciano,69,329757
305,DJLuian,77,1815109
306,DJSuedeTheRemixGod,16,15
307,LynyrdSkynyrd,74,4467708
308,Aly&AJ,61,631140
309,ToriKelly,68,2089658
310,lentra,57,28048
311,BonIver,77,3360085
312,BenjaminFrancisLeftwich,54,320161
313,ThurlRavenscroft,55,5077
314,HudsonThames,38,13514
315,LeninRamírez,74,2460703
316,AntSaunders,53,85174
317,QuinnXCII,72,739785
318,ElvisPresley,82,7856344
319,DaeDaeNiggaa,19,288
320,JID,80,1140193
321,ArizonaZervas,69,703312
322,TheBeatles,86,24620248
323,N.W.A.,68,4740353
324,ERNEST,67,62768
325,ToryLanez,84,5148687
326,LilTecca,79,5752907
327,BENEE,69,737136
328,HannahKerr,49,39969
329,ColdWarKids,62,808923
330,ArcadeFire,67,2170636
331,Gunna,86,4971307
332,JessGlynne,74,2905997
333,TwentyOnePilots,82,23221266
334,LoudLuxury,72,601598
335,BigRedMachine,57,140675
336,JackJohnson,78,3562389
337,K/DA,67,1828405
338,EricClapton,73,5227153
339,AndyGrammer,72,1123249
340,FionaApple,65,1127902
341,JaneZhang,47,71649
342,Stanaj,44,59931
343,HomixideGang,65,91361
344,ZeXzy,37,25344
345,RedVelvet,76,8092987
346,JellyRoll,74,1798905
347,KodakBlack,84,8979217
348,NipseyHussle,69,3050090
349,FelixJaehn,77,1264404
350,FloridaGeorgiaLine,77,5104731
351,LittleMix,78,11153116
352,JordanSmith,51,88694
353,DDG,67,926572
354,ElleKing,69,536009
355,SoMo,58,692968
356,ChrisRea,65,849484
357,Fences,31,42047
358,JoelCorry,78,325881
359,MacMiller,86,8570657
360,JIN,73,4940114
361,Aaliyah,69,3671323
362,MattSimons,63,208852
363,carolesdaughter,57,179629
364,SiR,67,792578
365,Smallpools,55,235496
366,Stunna4Vegas,61,781591
367,Coolio,72,832987
368,Belly,64,233286
369,RichHomieQuan,66,2711773
370,BillyJoel,78,4931539
371,RustedRoot,59,185933
372,Desiigner,65,3440379
373,lovelytheband,64,382782
374,347aidan,70,406962
375,Sigala,76,1516568
376,PierceTheVeil,76,2305756
377,EmmaStone,59,35732
378,Disturbed,76,5802083
379,Fabolous,69,2485121
380,TrinidadCardona,65,178208
381,ChadLawson,59,42636
382,BennyTheButcher,67,300888
383,DavidBowie,80,9083217
384,TheDrifters,62,456963
385,GaylaPeevey,50,4142
386,HandsomeGhost,43,71633
387,LukeChristopher,50,168340
388,GeorgeEzra,77,3934611
389,RussellDickerson,68,421395
390,NiykeeHeaton,55,498088
391,DianaKrall,66,1018767
392,TheCarters,58,1504363
393,ATribeCalledQuest,69,1831517
394,PeggyLee,62,391829
395,VanceJoy,78,2765345
396,SwedishHouseMafia,78,3657886
397,Ozuna,91,35529443
398,TylerChilders,78,1597671
399,MichaelJackson,84,26002422
400,GeneAutry,61,57929
401,YungZime,35,1695
402,Sheppard,64,279393
403,ElleyDuhé,79,393255
404,CanaanSmith,51,328871
405,TheLivingTombstoneYT,15,1
406,OMI,66,605471
407,Marshmello,84,34843958
408,Jeremih,76,6153152
409,YoungMoney,65,2764250
410,DonToliver,84,2555685
411,OnlyTheFamily,65,312519
412,StevieNicks,67,1128065
413,BrettYoung,70,968502
414,Seeb,70,329486
415,Pentatonix,72,3515616
416,MEDUZA,79,597989
417,ChildishGambino,81,10439919
418,quinnie,54,75889
419,EliYoungBand,63,780758
420,Shakin'Stevens,62,124522
421,BØRNS,69,1118843
422,ABBA,82,9650782
423,Train,74,4221771
424,Screamin'JayHawkins,42,94976
425,JoshGad,63,28784
426,ChrisStapleton,79,5270841
427,Blvckengineer,29,17066
428,TonyDeSare,31,4893
429,"GroverWashington,Jr.",65,284949
430,6LACK,77,3970595
431,SlicktorVictor,15,1373
432,InTh3FamilyITrust,13,45
433,SheckWes,67,1388639
434,NewPolitics,49,285190
435,Muse,78,7342699
436,VanMorrison,74,2739181
437,DwayneJohnson,63,271579
438,SnoopDogg,85,9259172
439,FuerzaRegida,87,2390478
440,PesoPluma,85,674295
441,BRSKash,48,32565
442,A$APRocky,84,11845115
443,bennyblanco,75,1029644
444,Smino,72,761549
445,JenniferLopez,78,12300171
446,LifeofDillon,42,35987
447,CurtisWaters,54,82760
448,GASHI,60,232342
449,DJDS,44,13124
450,skimasktheslumpgod,0,13
451,AliciaKeys,79,10415981
452,ManfredMann'sEarthBand,57,378152
453,M83,73,2180145
454,PrinceRoyce,78,7532723
455,SALES,63,517609
456,THEANXIETY,64,153525
457,JENNIE,63,3033681
458,RosaLinn,78,211544
459,BabyTate,74,275358
460,HotelUgly,78,216724
461,"HarryConnick,Jr.",55,483830
462,KendrickLamar,91,22908166
463,TheRollingStones,80,12600368
464,BradleyCooper,72,221185
465,Rob$tone,62,244422
466,TheBackyardigans,45,113589
467,IdinaMenzel,72,412354
468,UsTheDuo,54,425767
469,HRVY,67,1628827
470,CreedenceClearwaterRevival,80,5560141
471,CashCash,65,675315
472,alt-J,72,3115883
473,NickyYoure,74,118762
474,MetroBoomin,92,3709323
475,SoftCell,65,584667
476,ScHoolboyQ,74,4396002
477,KristinChenoweth,59,154471
478,HarrySimeoneChorale,43,4187
479,Matoma,68,724910
480,MeekMill,77,6923278
481,TyDolla$ign,83,4509479
482,LilPump,68,7954981
483,RosaWalton,63,12448
484,AFROJACK,75,3959214
485,O.T.Genasis,56,986930
486,SNBRN,51,103427
487,VinceGuaraldiTrio,65,127726
488,LordHuron,74,1184421
489,RodWave,81,4328953
490,BringMeTheHorizon,80,4652023
491,Smiley,57,32634
492,ColbieCaillat,70,2435208
493,CityGirls,69,2178835
494,MarvinDivine,49,10985
495,VariousArtists,0,0
496,KevinGates,76,5637645
497,ChloexHalle,61,2024672
498,ZivZaifman,58,10990
499,DuncanLaurence,70,460900
500,Topic,76,197755
501,ShawnMendes,86,40796027
502,CentralCee,85,2473841
503,DeathCabforCutie,67,1441085
504,Phantogram,69,744180
505,IVE,75,1702593
506,PinkPantheress,81,1645728
507,RoyWoods,64,973992
508,Calboy,60,846971
509,CodyJohnson,75,796831
510,Mustard,75,1033451
511,TheKidLAROI,86,4328504
