,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3031,ARETHAFRANKLIN,ISAYALITTLEPRAYER,875998,216773.0,0,0.592,0.355,9.0,-14.051,1.0,0.0352,0.478,0.0,0.0585,0.499,133.032,4.0
3032,ARETHAFRANKLIN,ISAYALITTLEPRAYER,875998,216773.0,0,0.592,0.355,9.0,-14.051,1.0,0.0352,0.478,0.0,0.0585,0.499,133.032,4.0
3033,XXXTENTACION,LOOKINGFORASTAR,873942,137173.0,0,0.915,0.692,9.0,-7.544,1.0,0.0857,0.15,0.00012,0.0964,0.713,118.981,4.0
3034,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3035,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3036,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3037,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3038,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3039,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3040,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3041,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3042,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3043,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3044,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3045,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3046,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3047,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3048,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3049,JBALVIN,MORADO,858456,200666.0,0,0.881,0.696,11.0,-3.838,0.0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4.0
3050,TOVELO,TRUEDISASTER,856647,204194.0,0,0.608,0.759,1.0,-6.096,1.0,0.0441,0.0528,3.41e-06,0.103,0.336,96.959,4.0
3051,TOVELO,TRUEDISASTER,856647,204194.0,0,0.608,0.759,1.0,-6.096,1.0,0.0441,0.0528,3.41e-06,0.103,0.336,96.959,4.0
3052,GRANDSON,BLOOD//WATER,853042,216720.0,0,0.51,0.882,8.0,-5.659,0.0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4.0
3053,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.505,0.892,6.0,-5.633,0.0,0.139,0.00162,0.00177,0.148,0.629,154.004,4.0
3054,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.505,0.892,6.0,-5.633,0.0,0.139,0.00162,0.00177,0.148,0.629,154.004,4.0
3055,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.504,0.891,6.0,-5.632,0.0,0.137,0.00163,0.00199,0.148,0.628,153.988,4.0
3056,GRANDSON,BLOOD//WATER,853042,216720.0,0,0.51,0.882,8.0,-5.659,0.0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4.0
3057,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.505,0.892,6.0,-5.633,0.0,0.139,0.00162,0.00177,0.148,0.629,154.004,4.0
3058,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.505,0.892,6.0,-5.633,0.0,0.139,0.00162,0.00177,0.148,0.629,154.004,4.0
3059,GRANDSON,BLOOD//WATER,853042,216720.0,0,0.51,0.882,8.0,-5.659,0.0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4.0
3060,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.505,0.892,6.0,-5.633,0.0,0.139,0.00162,0.00177,0.148,0.629,154.004,4.0
3061,GRANDSON,BLOOD//WATER,853042,214520.0,0,0.505,0.892,6.0,-5.633,0.0,0.139,0.00162,0.00177,0.148,0.629,154.004,4.0
3062,SUBLIME,SANTERIA,852382,183200.0,0,0.665,0.751,4.0,-5.003,1.0,0.041,0.0209,5.16e-06,0.121,0.58,90.376,4.0
3063,SUBLIME,SANTERIA,852382,182746.0,0,0.682,0.765,1.0,-5.021,0.0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,4.0
3064,SUBLIME,SANTERIA,852382,183200.0,0,0.665,0.751,4.0,-5.003,1.0,0.041,0.0209,5.16e-06,0.121,0.58,90.376,4.0
3065,SUBLIME,SANTERIA,852382,183200.0,0,0.665,0.751,4.0,-5.003,1.0,0.041,0.0209,5.16e-06,0.121,0.58,90.376,4.0
3066,SUBLIME,SANTERIA,852382,182746.0,0,0.682,0.765,1.0,-5.021,0.0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,4.0
3067,GEORGEEZRA,SHOTGUN,826785,201287.0,0,0.673,0.735,5.0,-4.733,1.0,0.0457,0.286,0.0,0.242,0.754,115.744,4.0
3068,GEORGEEZRA,SHOTGUN,826785,201287.0,0,0.673,0.735,5.0,-4.733,1.0,0.0457,0.286,0.0,0.242,0.754,115.744,4.0
3069,GEORGEEZRA,SHOTGUN,826785,201287.0,0,0.673,0.735,5.0,-4.733,1.0,0.0457,0.286,0.0,0.242,0.754,115.744,4.0
3070,NAS,RARE,825360,206777.0,0,0.498,0.851,8.0,-5.496,1.0,0.326,0.132,4.21e-06,0.529,0.518,78.025,4.0
3071,BLACKBEAR,QUEENOFBROKENHEARTS,824373,171171.0,0,0.717,0.712,0.0,-6.098,1.0,0.0765,0.00663,0.0,0.0756,0.825,97.019,4.0
3072,SLIPKNOT,UNSAINTED,822507,260773.0,0,0.427,0.946,7.0,-2.188,1.0,0.0469,0.000118,0.0253,0.0604,0.237,101.305,4.0
3073,SLIPKNOT,UNSAINTED,822507,260773.0,0,0.427,0.946,7.0,-2.188,1.0,0.0469,0.000118,0.0253,0.0604,0.237,101.305,4.0
3074,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,190160.0,0,0.462,0.395,9.0,-9.376,1.0,0.0264,0.758,0.0,0.121,0.625,82.259,4.0
3075,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,197813.0,0,0.38,0.43,9.0,-12.564,1.0,0.0288,0.546,1.71e-05,0.188,0.547,82.204,4.0
3076,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,190160.0,0,0.462,0.395,9.0,-9.376,1.0,0.0264,0.758,0.0,0.121,0.625,82.259,4.0
3077,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,197813.0,0,0.38,0.43,9.0,-12.564,1.0,0.0288,0.546,1.71e-05,0.188,0.547,82.204,4.0
3078,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,190160.0,0,0.462,0.395,9.0,-9.376,1.0,0.0264,0.758,0.0,0.121,0.625,82.259,4.0
3079,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,190160.0,0,0.462,0.395,9.0,-9.376,1.0,0.0264,0.758,0.0,0.121,0.625,82.259,4.0
3080,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,197813.0,0,0.38,0.43,9.0,-12.564,1.0,0.0288,0.546,1.71e-05,0.188,0.547,82.204,4.0
3081,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,190160.0,0,0.462,0.395,9.0,-9.376,1.0,0.0264,0.758,0.0,0.121,0.625,82.259,4.0
3082,JOHNDENVER,"TAKEMEHOME,COUNTRYROADS",819776,197813.0,0,0.38,0.43,9.0,-12.564,1.0,0.0288,0.546,1.71e-05,0.188,0.547,82.204,4.0
3083,LINKINPARK,PAPERCUT,817527,184866.0,0,0.524,0.939,9.0,-3.994,1.0,0.113,0.00022,0.0,0.623,0.661,150.184,4.0
3084,LINKINPARK,PAPERCUT,817527,184866.0,0,0.524,0.939,9.0,-3.994,1.0,0.113,0.00022,0.0,0.623,0.661,150.184,4.0
3085,LINKINPARK,PAPERCUT,817527,184866.0,0,0.524,0.94,9.0,-3.994,1.0,0.111,0.000217,0.0,0.623,0.664,150.184,4.0
3086,LINKINPARK,PAPERCUT,817527,184866.0,0,0.524,0.939,9.0,-3.994,1.0,0.113,0.00022,0.0,0.623,0.661,150.184,4.0
